학수번호-분반,강좌명,대상학년,정원,교수명,학점,강의시간/강의실,이수구분,언어구분,특이사항,대학
KMS2060-01,법의학(한의학2-2),2,120,임형수,1.0,목 14:00-15:50 (스263),04,,,서울
KMS2062-01,사상의학1,2,120,"고병희,이의주",1.0,월 16:00-17:50 (스262),04,,,서울
KMS2064-01,상한론2,2,55,안규석,1.0,월 11:00-12:50 (스359),04,,,서울
KMS2064-02,상한론2,2,55,안규석,1.0,월 09:00-10:50 (스360),04,,,서울
KMS2066-01,약리학2(한의학),2,55,"김형민,엄재영",2.0,화 14:00-15:50 (스359),04,,,서울
KMS2066-02,약리학2(한의학),2,55,"김형민,엄재영",2.0,화 09:00-10:50 (스360),04,,,서울
KMS2068-01,약리학실습2(한의학),2,55,"김형민,엄재영",.5,화 16:00-17:50 (스261),04,,,서울
KMS2068-02,약리학실습2(한의학),2,55,"김형민,엄재영",.5,화 11:00-12:50 (스261),04,,,서울
KMS2070-01,양방병리학2,2,120,"김성훈,이효정,김봉이",2.0,수 09:00-10:50 (스262),04,영어(부분),,서울
KMS2073-01,양방진단학,2,120,유재환,2.0,수 11:00-12:50 (스262)목 09:00-10:50 (스263),04,,,서울
KMS2074-01,온병학,2,55,"장우창,김상현",1.0,월 09:00-10:50 (스359),04,,,서울
KMS2074-02,온병학,2,55,"장우창,김상현",1.0,월 11:00-12:50 (스360),04,,,서울
KMS2077-01,처방제형학2,2,55,박성규,3.0,수 14:00-16:45 (스359),04,,,서울
KMS2077-02,처방제형학2,2,55,박성규,3.0,금 14:00-16:45 (스360),04,,,서울
KMS2079-01,처방제형학실습2,2,55,이희재,.5,금 14:00-15:50 (스361),04,,,서울
KMS2079-02,처방제형학실습2,2,55,유승형,.5,수 14:00-15:50 (스361),04,,,서울
KMS2148-01,예방의학및공중보건학2,2,110,"고성규,장보형,전천후,이은경",2.0,목 11:00-12:50 (스263),04,,,서울
KMS2200-01,종양학,2,120,"이수경,윤성우",1.0,목 16:00-17:50 (스263),04,,,서울
KMS3081-01,간계내과학2(3-2),3,120,"이장훈,김영철,장은경",1.0,화 09:00-10:50 (스358),04,,,서울
KMS3085-01,부인과학2(3-2),3,120,"장준복,이창훈,이진무,황덕상",1.5,금 13:00-15:45 (스358),04,,,서울
KMS3087-01,비계내과학2(3-2),3,120,"윤상협,박재우",1.0,화 14:00-15:50 (스358),04,,,서울
KMS3089-01,사상의학3,3,120,황민우,.5,금 09:00-09:50 (스358),04,,,서울
KMS3091-01,소아과학2(3-2),3,120,"이진용,장규태,이선행",1.0,수 14:00-15:50 (스358),04,,,서울
KMS3093-01,신경정신과학2(3-2),3,120,"김종우,정선용,조성훈",1.0,목 09:00-10:50 (스358),04,,,서울
KMS3095-01,신계내과학2(3-2),3,120,이병철,1.0,목 16:00-17:50 (스358),04,,,서울
KMS3097-01,심계내과학2(3-2),3,120,"조기호,고창남,문상관,정우상,박성욱,박정미,조승연,권승원",1.0,목 14:00-15:50 (스358),04,,,서울
KMS3099-01,안이비인후과학2(3-2),3,120,"남혜정,최인화",1.0,수 09:00-10:50 (스358),04,,,서울
KMS3101-01,응급의학2(3-2),3,120,유재환,1.0,목 11:00-12:50 (스358),04,,,서울
KMS3103-01,재활의학과학2(3-2),3,120,"송미연,정원석",1.0,금 10:00-11:50 (스358),04,,,서울
KMS3105-01,진단검사의학2,3,120,"김현호,김미아",1.0,수 17:00-18:50 (스358),04,,,서울
KMS3107-01,진단학2(3-2),3,120,"박영배,박영재",1.0,화 11:00-12:50 (스358),04,,,서울
KMS3109-10,추나학및실습,3,120,"김고운,조재흥",1.0,화 16:00-18:45 (스358),04,,,서울
KMS3111-01,침구학2(3-2),3,120,"최도영,남상수,백용현,남동우,서병관,박연철",1.5,월 15:00-17:45 (스358),04,,,서울
KMS3113-01,폐계내과학2(3-2),3,120,"정희재,이범준,김관일",1.0,수 11:00-12:50 (스358),04,,,서울
KMS3115-01,피부외과학2(3-2),3,120,"김윤범,김규석",1.0,월 13:00-14:50 (스358),04,,,서울
KMS3181-01,면역약침학,,100,정철,1.0,화 19:00-20:50 (스359),05,,,서울
KMS3201-01,영상의학2,3,120,백태선,1.0,월 09:00-10:50 (스358),04,,,서울
KMS3202-01,영상의학실습,3,120,백태선,.5,월 11:00-11:50 (스358),04,,,서울
KMS4117-01,간계내과학2(4-2),4,120,이장훈,1.5,- (),04,,,서울
KMS4119-01,부인과학2(4-2),4,120,장준복,1.5,- (),04,,,서울
KMS4121-01,비계내과학2(4-2),4,120,김진성,1.5,- (),04,,,서울
KMS4123-01,사상의학2(4-2),4,120,고병희,1.5,- (),04,,,서울
KMS4125-01,소아과학2(4-2),4,120,이진용,1.5,- (),04,,,서울
KMS4127-01,신경정신과학2(4-2),4,120,김종우,1.5,- (),04,,,서울
KMS4129-01,신계내과학2(4-2),4,120,"안영민,이병철",1.5,- (),04,영어(부분),,서울
KMS4131-01,심계내과학2(4-2),4,120,박정미,1.5,- (),04,,,서울
KMS4133-01,안이비인후과학2(4-2),4,120,김윤범,1.5,- (),04,,,서울
KMS4135-01,응급의학2(4-2),4,120,유재환,1.0,- (),04,,,서울
KMS4137-01,재활의학과학2(4-2),4,120,이종수,1.5,- (),04,,,서울
KMS4138-01,졸업논문(한의학),4,120,백유상,.0,- (),04,,,서울
KMS4140-01,진단학2(4-2),4,120,박영재,1.5,- (),04,,,서울
KMS4142-01,침구학2(4-2),4,120,최도영,1.5,- (),04,,,서울
KMS4144-01,폐계내과학2(4-2),4,120,정희재,1.5,- (),04,,,서울
KMS4146-01,피부외과학2(4-2),4,120,김윤범,1.5,- (),04,,,서울
KO1103-00,한국어교육학개론,1,66,박동호,3.0,월 13:30-14:45 (외204)수 13:30-14:45 (외204),05,,,국제
